행정동,도로명주소,지번주소,위도,경도,데이터기준일자
신길제5동,서울특별시 영등포구 대방천로 144,서울특별시 영등포구 신길동 430-48,37.49927919,126.9067226,2023-09-01
신길제5동,서울특별시 영등포구 신길로23길 12,서울특별시 영등포구 신길동 340-11,37.5006636,126.9077717,2023-09-01
신길제5동,서울특별시 영등포구 대방천로 109,서울특별시 영등포구 신길동 410-171,37.50057337,126.9035511,2023-09-01
신길제5동,서울특별시 영등포구 도림로69길 10,서울특별시 영등포구 신길동 420-143,37.50022774,126.9045445,2023-09-01
신길제5동,서울특별시 영등포구 신길로13길 15,서울특별시 영등포구 대림동 906-40,37.49724533,126.9064671,2023-09-01
신길제6동,서울특별시 영등포구 신길로28길 6,서울특별시 영등포구 신길동 3500,37.5026865,126.9108981,2023-09-01
신길제6동,서울특별시 영등포구 신풍로33,서울특별시 영등포구 신길동 3575,37.500435,126.909943,2023-09-01
신길제6동,서울특별시 영등포구 신길로8길 9-15,서울특별시 영등포구 신길동 4692,37.496329,126.909156,2023-09-01
신길제6동,서울특별시 영등포구 여의대방로7길 9,서울특별시 영등포구 신길동 4507,37.49732158,126.9127439,2023-09-01
신길제6동,서울특별시 영등포구 대방천로193,서울특별시 영등포구 신길동 3741-37,37.499389,126.912442,2023-09-01
신길제6동,서울특별시 영등포구 신풍로16길 1,서울특별시 영등포구 신길동 4003,37.499584,126.915287,2023-09-01
신길제6동,서울특별시 영등포구 신풍로26길 3,서울특별시 영등포구 신길동 504,37.49946838,126.9196922,2023-09-01
신길제6동,서울특별시 영등포구 여의대방로23길 8-1,서울특별시 영등포구 신길동 4230,37.49846302,126.9191394,2023-09-01
신길제6동,서울특별시 영등포구 여의대방로 145,서울특별시 영등포구 신길동 506,37.50021047,126.9199903,2023-09-01
신길제6동,서울특별시 영등포구 신풍로19가길 13,서울특별시 영등포구 신길동 1560,37.50139068,126.9173505,2023-09-01
신길제6동,서울특별시 영등포구 신길로8길 7,서울특별시 영등포구 신길동 4729,37.49572404,126.9093229,2023-09-01
